,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
2598,8378,Akita Inu,AKITA,akita-inu,23,2021-02-02T00:00:00.000Z,['memes'],100000000000000.0,0.0,0.0,,2599,2021-07-21T00:40:17.000Z,5.4669581e-07,5947521.08639596,2.14824494,-7.90429396,-24.41515785,-56.27002262,-79.87058905,-65.57428292,0.0,2021-07-21T00:40:17.000Z,1027.0,Ethereum,ETH,ethereum,0x3301ee63fb29f863f2333bd4466acb46cd8323e6
2599,9789,ETH 2x Flexible Leverage Index,ETH2X-FLI,eth-2x-flexible-leverage-index,4,2021-05-13T00:00:00.000Z,['derivatives'],334473.0,0.0,334472.45340537,,2600,2021-07-21T00:40:29.000Z,49.29333887370797,5889854.83410658,-0.45238281,-5.14230165,-15.91966924,-42.15465247,-67.77301527,0.0,0.0,2021-07-21T00:40:29.000Z,1027.0,Ethereum,ETH,ethereum,0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd
2600,10238,miMatic,MIMATIC,mimatic,2,2021-06-02T00:00:00.000Z,[],,0.0,0.0,,2601,2021-07-21T00:41:07.000Z,0.99762521864427,5868398.07489299,0.01014334,-0.4670437,-0.08643031,-1.21337707,0.0,0.0,0.0,2021-07-21T00:41:07.000Z,3890.0,Polygon,MATIC,polygon,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1
2601,7774,AAVEUP,AAVEUP,aave-up,1,2020-11-26T00:00:00.000Z,[],,0.0,0.0,,2602,2021-07-21T00:41:05.000Z,0.90427485213857,5806023.69355865,-3.82835481,-19.69830274,-40.93766661,-52.68292492,-75.2251137,-94.16881181,0.0,2021-07-21T00:41:05.000Z,,,,,
2602,8055,XLMUP,XLMUP,xlmup,1,2020-12-18T00:00:00.000Z,[],,0.0,0.0,,2603,2021-07-21T00:41:07.000Z,0.04101246563903,5413024.575404,-4.6497426,-8.86888871,-22.62060174,-66.94440346,-85.27377543,-99.51048716,0.0,2021-07-21T00:41:07.000Z,,,,,
2603,5275,PayProtocol,PCI,payprotocol,9,2020-03-05T00:00:00.000Z,[],,0.0,3941000000.0,,2604,2021-07-21T00:41:03.000Z,0.44265441047721,5381388.23281379,-2.18956268,-1.33672863,1.29811077,10.06575355,-55.47449257,-72.90275806,0.0,2021-07-21T00:41:03.000Z,,,,,
2604,10548,EverRise,RISE,everrise,4,2021-06-21T00:00:00.000Z,"['decentralized-exchange', 'defi', 'amm', 'binance-smart-chain']",1000000000000000.0,0.0,0.0,,2605,2021-07-21T00:41:04.000Z,4.405796e-08,5375284.14109416,0.75102887,-0.13219276,-23.54776729,0.0,0.0,0.0,0.0,2021-07-21T00:41:04.000Z,1839.0,Binance Smart Chain,BNB,binance-coin,0xc7d43f2b51f44f09fbb8a691a0451e8ffcf36c0a
2605,6963,DMD,DMD,dmd,8,2020-09-09T00:00:00.000Z,[],30000.0,0.0,0.0,,2606,2021-07-21T00:41:06.000Z,28.00661703741728,5268195.86091631,2.93314712,-1.02955364,-11.37117148,-33.69840562,3.80056008,-58.22272207,0.0,2021-07-21T00:41:06.000Z,1765.0,EOS,EOS,eos,DMD-eos-eosdmdtokens
2606,7003,DOTUP,DOTUP,dotup,2,2020-09-11T00:00:00.000Z,[],,0.0,0.0,,2607,2021-07-21T00:40:24.000Z,1.74156161454047,5177585.38020452,-4.70483494,-14.8455201,-45.45872784,-80.46068024,-89.99172198,-98.14761488,0.0,2021-07-21T00:40:24.000Z,,,,,
2607,7006,DOTDOWN,DOTDOWN,dotdown,1,2020-09-11T00:00:00.000Z,[],,0.0,0.0,,2608,2021-07-21T00:41:06.000Z,0.02580784423139,4964536.87874108,5.73927985,12.68832104,69.78271691,203.44753067,16.56811953,-98.52208857,0.0,2021-07-21T00:41:06.000Z,,,,,
2608,10234,Draken,DRK,draken,3,2021-06-02T00:00:00.000Z,[],4479000000.0,0.0,0.0,,2609,2021-07-21T00:40:08.000Z,0.03767979207323,4937029.01620026,-0.762253,-15.07317596,125.0121313,211.22844606,0.0,0.0,0.0,2021-07-21T00:40:08.000Z,,,,,
2609,8790,KINE,KINE,kine,9,2021-03-11T00:00:00.000Z,['exnetwork-capital-portfolio'],,0.0,0.0,,2610,2021-07-21T00:41:05.000Z,1.89104688159345,4662283.39947231,-0.67711044,-4.34884656,13.83235433,-7.54031706,4.08926803,-40.92762785,0.0,2021-07-21T00:41:05.000Z,1027.0,Ethereum,ETH,ethereum,0xcbfef8fdd706cde6f208460f2bf39aa9c785f05d
